09	14	1608	6883	52
09	15	983	4165	35
09	16	682	2838	23
09	17	1721	7157	58
09	18	847	3534	30
09	19	698	2961	24
09	20	1291	5257	42
09	21	501	2083	15
09	22	763	3137	23
09	23	833	3524	29
09	24	663	2715	22
09	25	1454	5971	44
09	26	851	3525	25
09	27	387	1636	12
09	28	837	3523	25
09	29	423	1771	11
09	30	958	4047	31
09	31	350	1545	13
10	01	714	2967	27
10	02	913	3916	32
10	03	1145	4715	39
10	04	436	1839	12
10	05	626	2758	25
10	06	715	2951	23
10	07	860	3510	29
10	08	449	2067	18
10	09	410	1708	13
10	10	610	2649	19
10	11	816	3352	27
10	12	994	4096	31
10	13	1151	4731	39
10	14	1119	4507	33
10	15	1120	4676	37
10	16	740	3055	23
10	17	937	3998	29
10	18	1098	4538	33
10	19	1475	5921	43
10	20	850	3455	26
10	21	780	3326	22
10	22	953	3954	51
10	23	880	3772	39
10	24	857	3582	25
11	01	1502	6385	53
11	02	1512	6256	46
11	03	852	3505	28
11	04	708	3176	34
11	05	529	2309	18
11	06	1020	4318	38
11	07	1484	6341	51
11	08	2141	9241	66
11	09	828	3564	28
11	10	841	3565	29
11	11	1255	5347	43
11	12	1040	4440	33
11	13	1140	4421	34
11	14	989	4095	31
11	15	953	3995	34
11	16	1037	4179	34
11	17	682	2649	24
11	18	1399	5634	46
11	19	734	2968	21
11	20	1482	6184	43
11	21	910	3805	29
11	22	1519	6335	53
12	01	671	2679	18
12	02	850	3406	25
12	03	850	3540	27
12	04	1371	5293	44
12	05	977	3989	27
12	06	1021	4051	33
12	07	826	3283	20
12	08	955	3891	29
12	09	1207	4855	37
12	10	1205	4946	36
12	11	740	3035	21
12	12	690	2906	21
12	13	777	3300	25
12	14	883	3699	29
12	15	1094	4522	38
12	16	658	2784	20
12	17	1247	5435	41
12	18	1222	5108	37
12	19	1149	4890	37
12	20	662	2737	21
12	21	749	3123	26
12	22	714	3023	20
12	23	1479	6240	37
12	24	586	2576	20
12	25	984	4159	30
13	01	685	3175	54
13	02	848	3977	55
13	03	349	1728	24
13	04	854	3891	43
13	05	666	2963	26
13	06	1343	5937	81
13	07	833	3827	40
13	08	493	2320	40
13	09	962	4346	44
13	10	366	1606	14
13	11	946	4215	47
13	12	989	4376	40
13	13	388	1630	14
13	14	359	1617	17
13	15	716	3194	29
13	16	852	3676	43
13	17	781	3217	27
13	18	401	1902	17
13	19	632	2762	19
13	20	291	1209	8
13	21	916	3863	30
13	22	607	2529	19
13	23	683	2991	32
13	24	543	2525	31
13	25	545	2610	31
13	26	712	3354	32
13	27	807	3651	34
13	28	866	3581	21
13	29	990	4252	30
14	01	532	2336	17
14	02	647	2741	18
14	03	483	2095	17
14	04	597	2529	22
14	05	499	2140	14
14	06	1404	6032	42
14	07	750	3219	22
14	08	538	2376	18
14	09	884	3798	31
14	10	562	2411	19
14	11	488	2234	23
14	12	483	2220	16
14	13	644	2873	22
14	14	450	1906	15
14	15	520	2153	19
14	16	481	2003	14
14	17	461	2119	19
14	18	1052	4410	34
14	19	354	1544	11
14	20	1150	5069	37
14	21	625	2702	20
